Concept,Dataset Categories,Keywords,Positive Prompt Type 1,Negative Prompt Type 1,Positive Prompt Type 2,Negative Prompt Type 2,Positive Label,Negative Label
Academic Journal,AcademicJournal,"journal, journals, peer-reviewed, publication, publications, article, articles, scholarly, citation, citations, abstract, abstracts, DOI, methodology, authors, publisher, impact factor, review, reviewer, published, volume, issue, manuscript, preprint",Academic Journal, ,I talk about academic journals constantly,I do not talk about academic journals constantly,This text relates to academic journals,This text does not relate to academic journals
Adult Film Actor,AdultActor,"pornstar, pornstars, porn, adult film, erotic, pornography, adult actress, adult actor, pornographic, hardcore, softcore, adult entertainment, camgirl, adult industry, explicit, adult movie, adult video, XXX, adult star, erotica, scenes",Adult Film Actor, ,I talk about adult film actors constantly,I do not talk about adult film actors constantly,This text relates to adult film actors,This text does not relate to adult film actors
Airline,Airline,"airline, airlines, flight, flights, aviation, passenger, aircraft, airplane, planes, boarding, ticket, terminal, runway, takeoff, landing, pilot, cabin crew, stewardess, baggage, frequent flyer, tarmac, fuselage, fly, flying",Airline, ,I talk about airlines constantly,I do not talk about airlines constantly,This text relates to airlines,This text does not relate to airlines
Airport,Airport,"airport, airports, terminal, runway, tarmac, departures, arrivals, baggage claim, TSA, customs, concourse, boarding gate, air traffic control, duty-free, carousel, layover, hangar, aerodrome, check-in, boarding pass, aviation",Airport, ,I talk about airports constantly,I do not talk about airports constantly,This text relates to airports,This text does not relate to airports
Album,Album,"album, albums, EP, LP, tracklist, vinyl, discography, mixtape, record, records, release, released, studio album, compilation, charting, tracks, track, songs, booklet, platinum, gold record, Billboard",Album, ,I talk about albums constantly,I do not talk about albums constantly,This text relates to albums,This text does not relate to albums
Ambassador,Ambassador,"ambassador, ambassadors, embassy, diplomacy, diplomat, diplomatic, consulate, envoy, foreign affairs, treaties, delegation, consul, attaché, credentials, ambassadorial, foreign policy, bilateral, plenipotentiary, state visit, diplomatic immunity",Ambassador, ,I talk about ambassadors constantly,I do not talk about ambassadors constantly,This text relates to ambassadors,This text does not relate to ambassadors
Amphibian,Amphibian,"amphibian, amphibians, frog, frogs, toad, toads, salamander, salamanders, newt, newts, tadpole, tadpoles, croak, cold-blooded, vertebrate, herpetology, metamorphosis, spawn, spawning, webbed, semi-aquatic, gills",Amphibian, ,I talk about amphibians constantly,I do not talk about amphibians constantly,This text relates to amphibians,This text does not relate to amphibians
Animanga Character,AnimangaCharacter,"anime character, manga character, protagonist, antagonist, shounen, shoujo, waifu, husbando, otaku, cosplay, cosplayer, tsundere, yandere, mecha, seiyuu, filler, canon, arc, weeb, trope, magical girl, sidekick",Animanga Character, ,I talk about animanga characters constantly,I do not talk about animanga characters constantly,This text relates to animanga characters,This text does not relate to animanga characters
Anime,Anime,"anime, animes, animation, studio, episode, episodes, OVA, dub, sub, subbed, dubbed, shounen, shoujo, mecha, isekai, Crunchyroll, Funimation, otaku, myanimelist, broadcast, opening, ending, manga, filler",Anime, ,I talk about anime constantly,I do not talk about anime constantly,This text relates to anime,This text does not relate to anime
Architect,Architect,"architect, architects, architecture, architectural, blueprint, blueprints, building design, drafting, CAD, facade, floor plan, structural, aesthetics, designer, firm, urban planning, landscape architecture, modernist, construct, drafted, building",Architect, ,I talk about architects constantly,I do not talk about architects constantly,This text relates to architects,This text does not relate to architects
Astronaut,Astronaut,"astronaut, astronauts, cosmonaut, spaceflight, NASA, ISS, spacewalk, EVA, space station, zero gravity, microgravity, spacesuit, shuttle, Apollo, orbit, commander, lunar, space mission, aerospace, rocket, launch",Astronaut, ,I talk about astronauts constantly,I do not talk about astronauts constantly,This text relates to astronauts,This text does not relate to astronauts
Badminton,BadmintonPlayer,"badminton, shuttlecock, birdie, racket, racquet, net, smash, clear, drop shot, rally, backhand, forehand, court, BWF, doubles, singles, serve, fault, let, match point, stringing",Badminton, ,I talk about badminton constantly,I do not talk about badminton constantly,This text relates to badminton,This text does not relate to badminton
Band,Band,"band, bands, group, frontman, lead singer, guitarist, drummer, bassist, gig, gigs, concert, tour, touring, setlist, rock band, pop group, backstage, encore, roadie, members, instruments, vocals",Band, ,I talk about bands constantly,I do not talk about bands constantly,This text relates to bands,This text does not relate to bands
Bank,Bank,"bank, banks, banking, teller, branch, ATM, deposit, deposits, withdrawal, loan, loans, checking account, savings account, mortgage, interest rate, vault, overdraft, routing number, credit union, finance, transaction, balance",Bank, ,I talk about banks constantly,I do not talk about banks constantly,This text relates to banks,This text does not relate to banks
Baseball,"BaseballPlayer, BaseballSeason, BaseballLeague","baseball, MLB, pitcher, catcher, batter, inning, innings, home run, base, bases, strikeout, strikes, umpire, fastball, curveball, dugout, bullpen, outfield, shortstop, grand slam, bat, glove",Baseball, ,I talk about baseball constantly,I do not talk about baseball constantly,This text relates to baseball,This text does not relate to baseball
Basketball,"BasketballPlayer, BasketballTeam, BasketballLeague","basketball, hoops, dunk, dribble, rebound, point guard, slam dunk, NBA, backboard, free throw, jump shot, layup, swish, buzzer beater, three-pointer, crossover, alley-oop, jump ball, court, foul, pass",Basketball, ,I talk about basketball constantly,I do not talk about basketball constantly,This text relates to basketball,This text does not relate to basketball
Beach Volleyball,BeachVolleyballPlayer,"beach volleyball, sand court, volleyball, spike, serve, block, dig, rally, setter, AVP, FIVB, net, bikini, trunks, beach sports, two-on-two, tournament, hit, fault, match, dive",Beach Volleyball, ,I talk about beach volleyball constantly,I do not talk about beach volleyball constantly,This text relates to beach volleyball,This text does not relate to beach volleyball
Beauty Queen,BeautyQueen,"beauty queen, pageant, pageants, Miss Universe, Miss World, tiara, crown, sash, contestant, swimsuit competition, evening gown, talent portion, reigning, crowned, titleholder, runner-up, glamour, beauty contest, chaperone, catwalk, pose",Beauty Queen, ,I talk about beauty queens constantly,I do not talk about beauty queens constantly,This text relates to beauty queens,This text does not relate to beauty queens
Bird,Bird,"bird, birds, avian, feathers, beak, wings, flight, flock, nest, nesting, ornithology, plumage, songbird, migrate, migration, chirp, talon, raptor, species, roost, hatch",Bird, ,I talk about birds constantly,I do not talk about birds constantly,This text relates to birds,This text does not relate to birds
Bodybuilding,Bodybuilder,"bodybuilding, bodybuilder, muscle, muscles, biceps, triceps, hypertrophy, lifting, weights, gym, IFBB, Mr. Olympia, posing, flex, flexing, protein, steroids, physique, workout, barbell, dumbbells",Bodybuilding, ,I talk about bodybuilding constantly,I do not talk about bodybuilding constantly,This text relates to bodybuilding,This text does not relate to bodybuilding
Boxing,AmateurBoxer,"boxing, boxer, boxers, ring, gloves, punch, knockout, KO, jab, uppercut, hook, bout, rounds, referee, heavyweight, ringside, sparring, corner, TKO, mouthguard, clinch",Boxing, ,I talk about boxing constantly,I do not talk about boxing constantly,This text relates to boxing,This text does not relate to boxing
Broadcast Network,BroadcastNetwork,"network, broadcast, channel, television network, ABC, CBS, NBC, BBC, programming, viewership, ratings, primetime, syndication, affiliates, television station, broadcasting, lineup, airing, aired, transmission, broadcasted",Broadcast Network, ,I talk about broadcast networks constantly,I do not talk about broadcast networks constantly,This text relates to broadcast networks,This text does not relate to broadcast networks
Bus Company,BusCompany,"bus, buses, coach, transit, route, routes, timetable, fare, passenger, depot, fleet, greyhound, double-decker, shuttle, driver, terminal, express, charter, stop, minibus, ride",Bus Company, ,I talk about bus companies constantly,I do not talk about bus companies constantly,This text relates to bus companies,This text does not relate to bus companies
Business Person,BusinessPerson,"businessman, businesswoman, CEO, executive, entrepreneur, founder, corporate, startup, board of directors, investor, management, enterprise, shareholder, president, chairman, mogul, tycoon, venture capitalist, business, corporation",Business Person, ,I talk about business people constantly,I do not talk about business people constantly,This text relates to business people,This text does not relate to business people
Canal,Canal,"canal, canals, waterway, locks, barges, navigation, towpath, channel, trench, dredging, panama canal, suez canal, aqueduct, vessels, shipping, route, irrigation, inland, sluice, embankments",Canal, ,I talk about canals constantly,I do not talk about canals constantly,This text relates to canals,This text does not relate to canals
Canoeing,Canoeist,"canoe, canoeing, canoeist, paddle, paddling, rapids, kayak, river, strokes, regatta, whitewater, slalom, outrigger, portage, boat, helm, bow, stern, buoyancy, stroke, paddleboard",Canoeing, ,I talk about canoeing constantly,I do not talk about canoeing constantly,This text relates to canoeing,This text does not relate to canoeing
Cardinal,Cardinal,"cardinal, cardinals, vatican, pope, conclave, bishop, archbishop, diocese, catholic, roman catholic, chalice, vestments, red hat, papal, holy see, ordained, clergy, basilica, eminence, prelates",Cardinal, ,I talk about cardinals constantly,I do not talk about cardinals constantly,This text relates to cardinals,This text does not relate to cardinals
Castle,Castle,"castle, castles, fortress, moat, drawbridge, keep, turrets, battlements, stone walls, medieval, knight, siege, lord, courtyard, dungeon, tower, stronghold, ramparts, chateau, citadel, ruins",Castle, ,I talk about castles constantly,I do not talk about castles constantly,This text relates to castles,This text does not relate to castles
Chef,Chef,"chef, chefs, cook, cooking, culinary, kitchen, recipe, restaurant, menu, gastronomy, sous chef, michelin, bake, baking, grill, fry, ingredients, seasoning, plating, cuisine, stove",Chef, ,I talk about chefs constantly,I do not talk about chefs constantly,This text relates to chefs,This text does not relate to chefs
Chess,ChessPlayer,"chess, grandmaster, chessboard, checkmate, pawn, knight, bishop, rook, queen, king, castling, stalemate, gambit, openings, tournament, blitz, ELO, FIDE, check, move, board",Chess, ,I talk about chess constantly,I do not talk about chess constantly,This text relates to chess,This text does not relate to chess
Classical Music,"ClassicalMusicComposition, ClassicalMusicArtist","classical music, symphony, orchestra, composer, concerto, sonata, opus, maestro, conductor, strings, violin, cello, piano, beethoven, mozart, bach, repertoire, movements, philharmonic, soprano, concerto",Classical Music, ,I talk about classical music constantly,I do not talk about classical music constantly,This text relates to classical music,This text does not relate to classical music
Comedian,Comedian,"comedian, comedy, stand-up, jokes, punchline, laugh, laughs, laughter, humor, humorist, hilarious, skit, sketch, improv, sitcom, funny, microphone, audience, stage, tour, gig",Comedian, ,I talk about comedians constantly,I do not talk about comedians constantly,This text relates to comedians,This text does not relate to comedians
Comic Strip,ComicStrip,"comic strip, comic, comics, panel, panels, cartoon, cartoonist, speech bubble, daily, sunday funnies, illustration, punchline, syndicated, characters, drawing, sketch, satire, humor, newspaper, read",Comic Strip, ,I talk about comic strips constantly,I do not talk about comic strips constantly,This text relates to comic strips,This text does not relate to comic strips
Comics Creator,ComicsCreator,"creator, writer, penciler, inker, illustrator, comic book, graphic novel, marvel, dc, panels, storyboard, characters, superhero, plot, issue, published, lettering, colorist, cover art, artistry, draw",Comics Creator, ,I talk about comics creators constantly,I do not talk about comics creators constantly,This text relates to comics creators,This text does not relate to comics creators
Congressman,Congressman,"congressman, congresswoman, representative, senate, senator, capitol, district, legislation, bill, voting, committee, terms, elected, bipartisan, parliamentarian, session, house of representatives, lawmaker, constituent, debate",Congressman, ,I talk about congressmen constantly,I do not talk about congressmen constantly,This text relates to congressmen,This text does not relate to congressmen
Cycling,"Cyclist, CyclingTeam","cycling, cyclist, bicycle, bike, bikes, pedal, pedaling, gears, saddle, handlebars, peloton, velodrome, ride, riding, route, helmet, tour, sprint, endurance, derailleur, chain",Cycling, ,I talk about cycling constantly,I do not talk about cycling constantly,This text relates to cycling,This text does not relate to cycling
Cycling Race,CyclingRace,"race, tour de france, giro, vuelta, stage, peloton, sprint, climb, time trial, yellow jersey, breakaway, finish line, route, classic, rider, start, podium, GC, mountain stage, cobblestones",Cycling Race, ,I talk about cycling races constantly,I do not talk about cycling races constantly,This text relates to cycling races,This text does not relate to cycling races
Dam,Dam,"dam, dams, reservoir, hydroelectric, water, river, spillway, concrete, barrier, turbine, flood control, barrage, megawatt, generation, lake, downstream, sluice, penstock, elevation, abutment",Dam, ,I talk about dams constantly,I do not talk about dams constantly,This text relates to dams,This text does not relate to dams
Earthquake,Earthquake,"earthquake, quake, seismic, epicenter, magnitude, richter scale, fault line, tectonic, tremor, tremors, aftershock, seismograph, fault, shaking, disaster, tsunami, crust, plate, rumble, destruction",Earthquake, ,I talk about earthquakes constantly,I do not talk about earthquakes constantly,This text relates to earthquakes,This text does not relate to earthquakes
Economist,Economist,"economist, economics, economy, macroeconomics, microeconomics, market, markets, inflation, GDP, interest rates, fiscal, monetary, policy, analysis, forecast, deficit, supply, demand, index, financial",Economist, ,I talk about economists constantly,I do not talk about economists constantly,This text relates to economists,This text does not relate to economists
Election,Election,"election, elections, vote, voting, ballot, polls, polling, candidate, campaign, turnout, electorate, constituency, debate, precinct, tally, count, elected, results, democracy, partisan, recount",Election, ,I talk about elections constantly,I do not talk about elections constantly,This text relates to elections,This text does not relate to elections
Engineer,Engineer,"engineer, engineering, degree, project, projects, design, blueprint, software, structural, civil, mechanical, electrical, systems, CAD, testing, development, prototype, build, calculation, innovation",Engineer, ,I talk about engineers constantly,I do not talk about engineers constantly,This text relates to engineers,This text does not relate to engineers
Fashion Designer,FashionDesigner,"designer, fashion, runway, collection, garments, couture, vogue, apparel, chic, style, boutique, sketching, fabric, tailoring, trends, label, brand, haute, sewing, models",Fashion Designer, ,I talk about fashion designers constantly,I do not talk about fashion designers constantly,This text relates to fashion designers,This text does not relate to fashion designers
Fern,Fern,"fern, ferns, frond, fronds, spores, fiddlehead, pteridophyte, shade, woodland, damp, soil, foliage, rhizome, botanical, vascular, plant, prehistoric, leaf, leaves, habitat",Fern, ,I talk about ferns constantly,I do not talk about ferns constantly,This text relates to ferns,This text does not relate to ferns
Figure Skating,FigureSkater,"figure skating, ice, skates, axel, lutz, salchow, spin, jump, sequence, choreography, glide, edge, rink, pairs, free skate, short program, judges, score, kissing and cry, olympic",Figure Skating, ,I talk about figure skating constantly,I do not talk about figure skating constantly,This text relates to figure skating,This text does not relate to figure skating
Film Festival,FilmFestival,"festival, cannes, sundance, premiere, screening, indie, independent film, red carpet, award, jury, director, cinema, audience, selection, documentary, shorts, feature, distribution, reel, cinematic",Film Festival, ,I talk about film festivals constantly,I do not talk about film festivals constantly,This text relates to film festivals,This text does not relate to film festivals
Fish,Fish,"fish, fishes, aquatic, gills, scales, fins, swim, swimming, ocean, river, lake, aquarium, marine, catch, fishing, spawn, school, vertebrate, habitat, species",Fish, ,I talk about fish constantly,I do not talk about fish constantly,This text relates to fish,This text does not relate to fish
Football,"NationalFootballLeagueSeason, FootballMatch, AmericanFootballPlayer, AustralianRulesFootballPlayer, CanadianFootballTeam, AustralianFootballTeam","football, touchdown, NFL, quarterback, tackle, yard, yards, field goal, end zone, punt, interception, defense, offense, gridiron, stadium, super bowl, helmet, pass, running back, cleats",Football, ,I talk about football constantly,I do not talk about football constantly,This text relates to football,This text does not relate to football
Formula One,FormulaOneRacer,"formula one, F1, grand prix, race, driver, car, pit stop, paddock, pole position, lap, laps, circuit, grid, qualify, qualifier, chassis, aerodynamic, checkered flag, podium, tires",Formula One, ,I talk about Formula One constantly,I do not talk about Formula One constantly,This text relates to Formula One,This text does not relate to Formula One
Fungus,Fungus,"fungus, fungi, mushroom, mushrooms, mycelium, spores, mold, yeast, decomposer, cap, gills, foraging, hyphae, lichen, damp, dampness, organic, toxic, edible, taxonomy",Fungus, ,I talk about fungi constantly,I do not talk about fungi constantly,This text relates to fungi,This text does not relate to fungi
Galaxy,Galaxy,"galaxy, galaxies, milky way, stars, universe, astronomy, constellation, telescope, spiral, elliptical, cosmic, light-years, nebula, black hole, cluster, dark matter, hubble, interstellar, orbit",Galaxy, ,I talk about galaxies constantly,I do not talk about galaxies constantly,This text relates to galaxies,This text does not relate to galaxies
Glacier,Glacier,"glacier, glaciers, ice, ice sheet, frozen, melt, melting, global warming, crevasse, alpine, moraine, retreat, snow, freezing, polar, fjord, avalanche, calving, icy, accumulation",Glacier, ,I talk about glaciers constantly,I do not talk about glaciers constantly,This text relates to glaciers,This text does not relate to glaciers
Golf,"GolfPlayer, GolfTournament, GolfCourse","golf, golfer, club, clubs, putter, driver, swing, hole, holes, par, birdie, bogey, fairway, green, bunker, tee, handicap, master, tournament, strokes",Golf, ,I talk about golf constantly,I do not talk about golf constantly,This text relates to golf,This text does not relate to golf
Governor,Governor,"governor, state, capitol, veto, bill, legislature, office, term, elected, executive, budget, mandate, campaign, constituents, signature, policy, pardon, administration, senator, politics",Governor, ,I talk about governors constantly,I do not talk about governors constantly,This text relates to governors,This text does not relate to governors
Grape,Grape,"grape, grapes, vineyard, vine, wine, vintage, harvest, varietal, crush, fermentation, winery, red, white, clusters, skins, tannins, viticulture, seedless, tasting, agriculture",Grape, ,I talk about grapes constantly,I do not talk about grapes constantly,This text relates to grapes,This text does not relate to grapes
Gymnastics,Gymnast,"gymnastics, gymnast, routine, floor, vault, beam, bars, dismount, score, flip, twist, balance, tumble, tumbling, somersault, parallel bars, pommel horse, chalk, flexibility, olympic",Gymnastics, ,I talk about gymnastics constantly,I do not talk about gymnastics constantly,This text relates to gymnastics,This text does not relate to gymnastics
Handball,"HandballPlayer, HandballTeam","handball, court, goal, throw, jump shot, penalty, pass, dribble, pivot, winger, backcourt, defense, referee, IHF, match, foul, tournament, team, fast break, ball",Handball, ,I talk about handball constantly,I do not talk about handball constantly,This text relates to handball,This text does not relate to handball
Historian,Historian,"historian, history, archives, research, documents, historical, scholar, academic, century, era, documentation, published, professor, biography, past, timeline, ancient, modern, study, record",Historian, ,I talk about historians constantly,I do not talk about historians constantly,This text relates to historians,This text does not relate to historians
Historic Building,HistoricBuilding,"historic, historic building, architecture, heritage, landmark, preservation, built, century, facade, listed, restoration, estate, masonry, brick, historical, site, protected, monument, era, foundations",Historic Building, ,I talk about historic buildings constantly,I do not talk about historic buildings constantly,This text relates to historic buildings,This text does not relate to historic buildings
Hockey,"IceHockeyPlayer, HockeyTeam, IceHockeyLeague","hockey, NHL, ice, puck, stick, skates, goal, goaltender, rink, penalty, power play, period, checking, faceoff, icing, slap shot, board, crease, blue line, assist",Hockey, ,I talk about hockey constantly,I do not talk about hockey constantly,This text relates to hockey,This text does not relate to hockey
Horse Racing,"HorseRace, RaceHorse, Jockey","racing, horse, jockey, track, furlong, derby, thoroughbred, odds, betting, stakes, handicap, gallop, turf, dirt, finish line, stable, grandstand, paddock, whip, saddle",Horse Racing, ,I talk about horse racing constantly,I do not talk about horse racing constantly,This text relates to horse racing,This text does not relate to horse racing
Horse Rider,HorseRider,"rider, horse, equestrian, saddle, reins, mount, trot, canter, gallop, stirrup, horseback, arena, eventing, dressage, show jumping, helmet, trails, bridle, bit",Horse Rider, ,I talk about horse riders constantly,I do not talk about horse riders constantly,This text relates to horse riders,This text does not relate to horse riders
Hospital,Hospital,"hospital, clinic, patients, doctor, doctors, nurses, ward, ER, emergency, surgery, medical, healthcare, beds, trauma, ICU, treatment, diagnosis, admission, discharged, outpatient",Hospital, ,I talk about hospitals constantly,I do not talk about hospitals constantly,This text relates to hospitals,This text does not relate to hospitals
Hotel,Hotel,"hotel, hotels, resort, room, rooms, booking, reservation, lobby, reception, suite, guests, hospitality, amenities, checkout, check-in, concierge, inn, motel, stay, accommodation",Hotel, ,I talk about hotels constantly,I do not talk about hotels constantly,This text relates to hotels,This text does not relate to hotels
Insect,Insect,"insect, insects, bug, bugs, antenna, exoskeleton, wings, species, larvae, metamorphosis, pollinator, bite, crawl, fly, thorax, abdomen, entomology, colony, nest, pest",Insect, ,I talk about insects constantly,I do not talk about insects constantly,This text relates to insects,This text does not relate to insects
Journalist,Journalist,"journalist, journalism, news, reporter, reporting, article, newspaper, media, interview, editor, published, press, freelance, correspondent, coverage, broadcast, breaking news, column, editorial, investigative",Journalist, ,I talk about journalists constantly,I do not talk about journalists constantly,This text relates to journalists,This text does not relate to journalists
Judge,Judge,"judge, court, courthouse, ruling, verdict, law, gavel, bench, hearing, trial, sentence, justice, jurisdiction, appeal, attorney, presided, magistrate, judicial, litigation, jury",Judge, ,I talk about judges constantly,I do not talk about judges constantly,This text relates to judges,This text does not relate to judges
Lake,Lake,"lake, lakes, water, shore, shoreline, depth, surface, fish, freshwater, reservoir, boating, basin, ecosystem, freeze, dock, swimming, watershed, inlet, outlet, aquatic",Lake, ,I talk about lakes constantly,I do not talk about lakes constantly,This text relates to lakes,This text does not relate to lakes
Law Firm,LawFirm,"law firm, lawyers, attorneys, partner, associate, litigation, corporate, practice, clients, counsel, firm, paralegal, lawsuit, legal, office, billable, representation, defense, settlement, contract",Law Firm, ,I talk about law firms constantly,I do not talk about law firms constantly,This text relates to law firms,This text does not relate to law firms
