Concept,Dataset Categories,Keywords,Positive Prompt Type 1,Negative Prompt Type 1,Positive Prompt Type 2,Negative Prompt Type 2,Positive Label,Negative Label
Library,Library,"library, libraries, books, reading, reading room, stacks, librarian, borrow, catalog, checkout, reference, shelves, collection, archive, circulation, study, quiet, literacy, archives, branch",Library, ,I talk about libraries constantly,I do not talk about libraries constantly,This text relates to libraries,This text does not relate to libraries
Lighthouse,Lighthouse,"lighthouse, light, beacon, coast, coastal, tower, navigation, maritime, warning, ships, ocean, lens, keeper, beam, shore, rocks, foggy, reef, illumination, structure",Lighthouse, ,I talk about lighthouses constantly,I do not talk about lighthouses constantly,This text relates to lighthouses,This text does not relate to lighthouses
Magazine,Magazine,"magazine, issue, issues, print, cover, pages, glossy, article, subscription, editor, editorial, publishing, published, circulation, lifestyle, interview, monthly, weekly, feature, column",Magazine, ,I talk about magazines constantly,I do not talk about magazines constantly,This text relates to magazines,This text does not relate to magazines
Manga,Manga,"manga, volume, chapter, chapters, read, mangaka, panels, shounen, shoujo, serialization, weekly, monthly, anime, published, graphic novel, english translation, ink, scanlation, otaku",Manga, ,I talk about manga constantly,I do not talk about manga constantly,This text relates to manga,This text does not relate to manga
Martial Arts,MartialArtist,"martial arts, karate, judo, taekwondo, dojo, belt, black belt, sparring, kata, sensei, strike, kick, punch, block, throw, tatami, self-defense, tournament, gi, grappling, kung fu",Martial Arts, ,I talk about martial arts constantly,I do not talk about martial arts constantly,This text relates to martial arts,This text does not relate to martial arts
Mayor,Mayor,"mayor, city, town, city hall, council, elected, term, office, municipality, budget, policy, alderman, local government, civic, community, administration, voting, initiative, election, municipal",Mayor, ,I talk about mayors constantly,I do not talk about mayors constantly,This text relates to mayors,This text does not relate to mayors
Medician,Medician,"physician, doctor, medical, medicine, patient, clinic, treatment, hospital, diagnosis, prescription, therapy, healthcare, disease, symptoms, healing, cure, practice, specialist, surgeon, clinical",Medician, ,I talk about medicians constantly,I do not talk about medicians constantly,This text relates to medicians,This text does not relate to medicians
Military,"MilitaryUnit, MilitaryPerson","military, army, navy, air force, troops, soldiers, commander, base, deployment, combat, uniform, weapon, defense, officers, rank, battalion, regiment, tactical, armed, forces",Military, ,I talk about the military constantly,I do not talk about the military constantly,This text relates to the military,This text does not relate to the military
Military Conflict,MilitaryConflict,"war, battle, conflict, troops, invasion, casualties, treaty, combat, offensive, siege, peace, fighting, ceasefire, frontlines, territory, enemy, allies, armistice, defeat, victory",Military Conflict, ,I talk about military conflicts constantly,I do not talk about military conflicts constantly,This text relates to military conflicts,This text does not relate to military conflicts
Mixed Martial Arts,MixedMartialArtsEvent,"MMA, mixed martial arts, UFC, octagon, fight, fighter, cage, submission, knockout, KO, TKO, grapple, wrestling, striking, tap out, referee, round, championship, title, bout",Mixed Martial Arts, ,I talk about mixed martial arts constantly,I do not talk about mixed martial arts constantly,This text relates to mixed martial arts,This text does not relate to mixed martial arts
Model,Model,"model, modeling, fashion, runway, photoshoot, camera, pose, posing, agency, vogue, cover, magazine, catwalk, designer, glamour, portfolio, campaign, cosmetics, style, beauty",Model, ,I talk about models constantly,I do not talk about models constantly,This text relates to models,This text does not relate to models
Monarch,Monarch,"monarch, king, queen, royal, royalty, throne, crown, reign, ruled, kingdom, palace, majestic, sovereignty, empire, dynasty, coronation, heir, sovereign, majesty, prince",Monarch, ,I talk about monarchs constantly,I do not talk about monarchs constantly,This text relates to monarchs,This text does not relate to monarchs
Moss,Moss,"moss, mosses, damp, green, forest, rocks, tree trunk, spores, non-vascular, bryophyte, carpet, moisture, shade, flora, botany, growth, soft, velvety, ecosystem, terrestrial",Moss, ,I talk about mosses constantly,I do not talk about mosses constantly,This text relates to mosses,This text does not relate to mosses
Mountain,"Mountain, MountainRange, MountainPass","mountain, mountains, peak, summit, climb, range, elevation, alpine, altitude, ridge, slope, rocky, everest, glacier, trail, hike, base camp, terrain, ascent, valley",Mountain, ,I talk about mountains constantly,I do not talk about mountains constantly,This text relates to mountains,This text does not relate to mountains
Museum,Museum,"museum, museums, exhibit, exhibition, gallery, art, artifacts, history, collection, curator, preserved, tour, display, visitor, paleontology, antiquities, archives, admission, showcase, historical",Museum, ,I talk about museums constantly,I do not talk about museums constantly,This text relates to museums,This text does not relate to museums
Music Festival,MusicFestival,"festival, lineup, stage, headliner, bands, live music, concert, crowd, outdoors, tents, camping, wristband, tickets, performances, acts, setlist, encore, sound system, fans, summer",Music Festival, ,I talk about music festivals constantly,I do not talk about music festivals constantly,This text relates to music festivals,This text does not relate to music festivals
Music Genre,MusicGenre,"genre, music, style, sound, subgenre, rock, pop, jazz, classical, hip hop, rhythm, beat, influence, tempo, instrumentation, scene, roots, underground, mainstream",Music Genre, ,I talk about music genres constantly,I do not talk about music genres constantly,This text relates to music genres,This text does not relate to music genres
Musical,Musical,"musical, broadway, west end, theatre, cast, songs, singing, choreography, act, intermission, script, stage, rehearsal, costumes, ticket, audience, playbill, performance, orchestra",Musical, ,I talk about musicals constantly,I do not talk about musicals constantly,This text relates to musicals,This text does not relate to musicals
Mythological Figure,MythologicalFigure,"myth, mythology, god, goddess, legend, folklore, pantheon, greek, roman, norse, divine, heroic, epic, powers, worship, temple, sacred, mortal, immortal, mythic",Mythological Figure, ,I talk about mythological figures constantly,I do not talk about mythological figures constantly,This text relates to mythological figures,This text does not relate to mythological figures
NASCAR Driver,NascarDriver,"NASCAR, driver, stock car, racing, track, daytona, oval, lap, pit stop, pit road, speedway, checkered flag, crash, championship, cup series, engine, speed, draft, drafting, motorsport",NASCAR Driver, ,I talk about NASCAR drivers constantly,I do not talk about NASCAR drivers constantly,This text relates to NASCAR drivers,This text does not relate to NASCAR drivers
Netball,NetballPlayer,"netball, court, goal, pass, shooting, bib, centre, wing attack, goal shooter, pivot, footwork, team, foul, referee, quarter, match, hoop, substitution, interception, sport",Netball, ,I talk about netball constantly,I do not talk about netball constantly,This text relates to netball,This text does not relate to netball
Newspaper,Newspaper,"newspaper, paper, news, article, print, daily, weekly, headline, journalist, reporter, column, editorial, circulation, published, broadsheet, tabloid, press, front page, subscribe, readership",Newspaper, ,I talk about newspapers constantly,I do not talk about newspapers constantly,This text relates to newspapers,This text does not relate to newspapers
Noble,Noble,"noble, nobility, aristocrat, aristocracy, duke, earl, baron, count, lord, lady, title, estate, hereditary, coat of arms, manor, peerage, court, lineage, realm, sovereign",Noble, ,I talk about nobles constantly,I do not talk about nobles constantly,This text relates to nobles,This text does not relate to nobles
Olympic Event,OlympicEvent,"olympic, olympics, gold, silver, bronze, medal, compete, event, athlete, podium, arena, stadium, games, qualify, record, world record, ceremony, representing, sport, final",Olympic Event, ,I talk about olympic events constantly,I do not talk about olympic events constantly,This text relates to olympic events,This text does not relate to olympic events
Painter,Painter,"painter, painting, canvas, brush, palette, oil, watercolor, acrylic, portrait, landscape, abstract, exhibition, gallery, strokes, studio, art, artist, masterpiece, mural, colors",Painter, ,I talk about painters constantly,I do not talk about painters constantly,This text relates to painters,This text does not relate to painters
Philosopher,Philosopher,"philosopher, philosophy, think, thinking, thought, logic, ethics, morals, theory, treatise, intellectual, reasoning, exist, epistemology, metaphysics, plato, socrates, published, scholar, argument",Philosopher, ,I talk about philosophers constantly,I do not talk about philosophers constantly,This text relates to philosophers,This text does not relate to philosophers
Photographer,Photographer,"photographer, photography, camera, lens, photo, shoot, picture, framing, focus, exposure, portrait, landscape, studio, flash, captured, editing, portfolio, gallery, snapshot, visual",Photographer, ,I talk about photographers constantly,I do not talk about photographers constantly,This text relates to photographers,This text does not relate to photographers
Planet,Planet,"planet, planets, solar system, orbit, sun, moon, atmosphere, gravity, surface, rings, mars, jupiter, earth, astronomy, telescope, celestial, rocky, gas giant, crater, space",Planet, ,I talk about planets constantly,I do not talk about planets constantly,This text relates to planets,This text does not relate to planets
Play,Play,"play, theatre, stage, actors, script, act, acts, scene, intermission, dialogue, drama, comedy, playwright, broadway, performance, rehearsal, cast, ticket, curtain, audience",Play, ,I talk about plays constantly,I do not talk about plays constantly,This text relates to plays,This text does not relate to plays
Playboy Playmate,PlayboyPlaymate,"playmate, playboy, centerfold, magazine, model, photoshoot, nude, glamour, cover, hefner, mansion, bunny, pictorial, blonde, brunette, posing, issue, month, year, pinup",Playboy Playmate, ,I talk about playboy playmates constantly,I do not talk about playboy playmates constantly,This text relates to playboy playmates,This text does not relate to playboy playmates
Poem,Poem,"poem, poems, poetry, stanza, verse, rhyme, meter, lines, rhythm, poet, spoken word, sonnet, haiku, metaphor, lyric, verses, published, anthology, read, emotional",Poem, ,I talk about poems constantly,I do not talk about poems constantly,This text relates to poems,This text does not relate to poems
Poet,Poet,"poet, poetry, poem, poems, written, verses, rhyming, sonnet, literature, literary, published, anthology, read, author, stanza, metaphor, lyricist, reciting, wordsmith, romantic",Poet, ,I talk about poets constantly,I do not talk about poets constantly,This text relates to poets,This text does not relate to poets
Pope,Pope,"pope, papacy, vatican, catholic, rome, basilica, blessing, encyclical, cardinal, conclave, holy see, pontiff, mass, church, faithful, infallibility, saint, canonization, bishop, apostolic",Pope, ,I talk about popes constantly,I do not talk about popes constantly,This text relates to popes,This text does not relate to popes
President,President,"president, presidency, oval office, executive, veto, commander in chief, white house, term, elected, election, campaign, administration, policy, bill, cabinet, state of the union, leader, nation, mandate, oath",President, ,I talk about presidents constantly,I do not talk about presidents constantly,This text relates to presidents,This text does not relate to presidents
Prime Minister,PrimeMinister,"prime minister, PM, parliament, cabinet, government, leader, election, term, policy, resignation, majority, coalition, downing street, executive, legislation, commons, debate, ruling, politics, premier",Prime Minister, ,I talk about prime ministers constantly,I do not talk about prime ministers constantly,This text relates to prime ministers,This text does not relate to prime ministers
Prison,Prison,"prison, jail, inmate, inmates, cell, bars, guard, warden, sentence, locked up, penitentiary, conviction, release, parole, yard, corrections, maximum security, confinement, escaped, solitary",Prison, ,I talk about prisons constantly,I do not talk about prisons constantly,This text relates to prisons,This text does not relate to prisons
Publisher,Publisher,"publisher, publishing, published, books, print, magazine, newspaper, editorial, editing, distribution, press, author, manuscript, release, catalog, media, imprint, circulation, copies, literature",Publisher, ,I talk about publishers constantly,I do not talk about publishers constantly,This text relates to publishers,This text does not relate to publishers
Racecourse,Racecourse,"racecourse, track, racing, horse, grandstand, turf, dirt, finish line, paddock, betting, furlong, odds, jockey, stables, race, lap, oval, grand prix, speedway",Racecourse, ,I talk about racecourses constantly,I do not talk about racecourses constantly,This text relates to racecourses,This text does not relate to racecourses
Radio Host,RadioHost,"radio, host, broadcast, show, station, FM, AM, microphone, listener, listeners, airwaves, DJ, interview, segment, tune in, caller, podcast, studio, co-host, broadcasting",Radio Host, ,I talk about radio hosts constantly,I do not talk about radio hosts constantly,This text relates to radio hosts,This text does not relate to radio hosts
Radio Station,RadioStation,"radio, station, broadcast, FM, AM, frequency, transmitter, DJ, listeners, music, news, airwaves, studio, programming, antenna, signal, tune in, dial, local, broadcasted",Radio Station, ,I talk about radio stations constantly,I do not talk about radio stations constantly,This text relates to radio stations,This text does not relate to radio stations
Railway,"RailwayLine, RailwayStation","railway, rail, train, trains, track, tracks, locomotive, station, passenger, freight, conductor, platform, route, line, ticket, carriage, engine, network, crossing, schedule",Railway, ,I talk about railways constantly,I do not talk about railways constantly,This text relates to railways,This text does not relate to railways
Religious,Religious,"religion, faith, belief, pray, prayer, god, worship, holy, sacred, spirit, spiritual, scripture, text, church, mosque, temple, ritual, divine, doctrine",Religious, ,I talk about religion constantly,I do not talk about religion constantly,This text relates to religion,This text does not relate to religion
Reptile,Reptile,"reptile, reptiles, scales, cold-blooded, snake, lizard, turtle, crocodile, slither, venomous, vertebrate, shedding, fangs, habitat, egg, claws, terrarium, species, crawl, herpetology",Reptile, ,I talk about reptiles constantly,I do not talk about reptiles constantly,This text relates to reptiles,This text does not relate to reptiles
Restaurant,Restaurant,"restaurant, dining, menu, meal, food, chef, waiter, waitress, table, reservation, cook, cuisine, kitchen, order, taste, flavor, delicious, bill, tip, eating",Restaurant, ,I talk about restaurants constantly,I do not talk about restaurants constantly,This text relates to restaurants,This text does not relate to restaurants
River,River,"river, water, flow, flowing, stream, banks, mouth, source, current, rapids, valley, bridge, boat, fish, flood, delta, channel, crossing, tributary, ecosystem",River, ,I talk about rivers constantly,I do not talk about rivers constantly,This text relates to rivers,This text does not relate to rivers
Road,Road,"road, street, highway, asphalt, pavement, traffic, lane, drive, driving, intersection, car, cars, route, speed, surface, journey, trip, direction, sign, crosswalk",Road, ,I talk about roads constantly,I do not talk about roads constantly,This text relates to roads,This text does not relate to roads
Roller Coaster,RollerCoaster,"roller coaster, theme park, amusement park, ride, track, loop, drop, steep, speed, scream, cart, carriage, thrill, upside down, launch, airtime, g-force, brakes, height, climb",Roller Coaster, ,I talk about roller coasters constantly,I do not talk about roller coasters constantly,This text relates to roller coasters,This text does not relate to roller coasters
Rowing,Rower,"rowing, boat, oars, water, crew, river, stroke, regatta, shell, coxswain, bow, stern, rhythm, race, olympics, team, catch, finish, pulling, sweep",Rowing, ,I talk about rowing constantly,I do not talk about rowing constantly,This text relates to rowing,This text does not relate to rowing
Saint,Saint,"saint, holy, canonized, miracle, patron, feast, martyr, church, catholic, icon, statue, prayer, divine, sacred, veneration, relic, heaven, grace, bless, shrine",Saint, ,I talk about saints constantly,I do not talk about saints constantly,This text relates to saints,This text does not relate to saints
School,School,"school, student, students, teacher, classroom, principal, education, class, homework, desk, blackboard, grade, learn, learning, recess, textbook, exam, test, campus, graduate",School, ,I talk about schools constantly,I do not talk about schools constantly,This text relates to schools,This text does not relate to schools
Screenwriter,ScreenWriter,"screenwriter, script, write, writer, film, movie, dialogue, scene, act, plot, character, draft, rewrite, director, hollywood, storyboard, typing, narrative, story, credits",Screenwriter, ,I talk about screenwriters constantly,I do not talk about screenwriters constantly,This text relates to screenwriters,This text does not relate to screenwriters
Senator,Senator,"senator, senate, capitol, bill, law, voting, legislation, term, elected, office, politician, committee, state, congress, debate, chamber, representative, policy, session, majority",Senator, ,I talk about senators constantly,I do not talk about senators constantly,This text relates to senators,This text does not relate to senators
Shopping Mall,ShoppingMall,"mall, shopping, stores, store, retail, food court, buy, sale, price, shop, shops, brand, escalator, parking, entrance, indoor, consumer, browsing, discount, checkout",Shopping Mall, ,I talk about shopping malls constantly,I do not talk about shopping malls constantly,This text relates to shopping malls,This text does not relate to shopping malls
Single,Single,"single, song, hit, track, release, radio, chart, chart-topping, number one, listen, stream, billboard, pop, artist, recording, vocal, music, download, album, hook",Single, ,I talk about singles constantly,I do not talk about singles constantly,This text relates to singles,This text does not relate to singles
Skating,Skater,"skate, skating, ice, rink, board, wheels, glide, jump, spin, balance, fast, fall, speed, surface, helmet, trick, edge, boot, loop, competition",Skating, ,I talk about skating constantly,I do not talk about skating constantly,This text relates to skating,This text does not relate to skating
Skiing,Skier,"ski, skiing, snow, mountain, slope, poles, alpine, winter, resort, goggles, lift, downhill, race, trail, cold, fast, boots, powder, freestyle, cross-country",Skiing, ,I talk about skiing constantly,I do not talk about skiing constantly,This text relates to skiing,This text does not relate to skiing
Soap Character,SoapCharacter,"soap, soap opera, drama, character, storyline, episode, actor, actress, plot, twist, romance, affair, secret, dialogue, scene, broadcast, daily, viewer, family, conflict",Soap Character, ,I talk about soap characters constantly,I do not talk about soap characters constantly,This text relates to soap characters,This text does not relate to soap characters
Soccer,"SoccerPlayer, SoccerTournament, SoccerClubSeason, SoccerLeague","soccer, football, ball, goal, match, team, pitch, referee, kick, pass, tackle, striker, defender, goalkeeper, offside, penalty, tournament, red card, yellow card, stadium",Soccer, ,I talk about soccer constantly,I do not talk about soccer constantly,This text relates to soccer,This text does not relate to soccer
Soccer Manager,SoccerManager,"manager, coach, tactics, team, substitution, sideline, match, training, contract, signing, transfer, press conference, strategy, dressing room, formation, instructions, victory, defeat, club, squad",Soccer Manager, ,I talk about soccer managers constantly,I do not talk about soccer managers constantly,This text relates to soccer managers,This text does not relate to soccer managers
Solar Eclipse,SolarEclipse,"eclipse, solar, sun, moon, shadow, corona, totality, partial, path, eye, glasses, light, dark, space, astronomy, celestial, orbit, alignment, sky, viewing",Solar Eclipse, ,I talk about solar eclipses constantly,I do not talk about solar eclipses constantly,This text relates to solar eclipses,This text does not relate to solar eclipses
Sports Team Member,SportsTeamMember,"player, team, jersey, number, position, match, game, coach, practice, roster, contract, transfer, play, teammate, score, win, lose, athletic, compete, substitute",Sports Team Member, ,I talk about sports team members constantly,I do not talk about sports team members constantly,This text relates to sports team members,This text does not relate to sports team members
Stadium,Stadium,"stadium, arena, seats, crowd, fans, field, pitch, track, stand, capacity, ticket, match, game, event, cheer, noise, architecture, lights, roof, scoreboard",Stadium, ,I talk about stadiums constantly,I do not talk about stadiums constantly,This text relates to stadiums,This text does not relate to stadiums
Sumo,SumoWrestler,"sumo, wrestler, rikishi, dohyo, ring, mawashi, belt, match, push, throw, grip, slap, tournament, basho, weight, japan, traditional, ritual, salt, yokozuna",Sumo, ,I talk about sumo constantly,I do not talk about sumo constantly,This text relates to sumo,This text does not relate to sumo
Swimming,Swimmer,"swim, swimming, pool, water, lane, stroke, freestyle, butterfly, breaststroke, backstroke, dive, breath, goggle, cap, speed, race, timer, turn, splash, underwater",Swimming, ,I talk about swimming constantly,I do not talk about swimming constantly,This text relates to swimming,This text does not relate to swimming
Table Tennis,TableTennisPlayer,"table tennis, ping pong, paddle, racket, ball, table, net, serve, spin, smash, rally, point, match, fast, react, opponent, forehand, backhand, game, bounce",Table Tennis, ,I talk about table tennis constantly,I do not talk about table tennis constantly,This text relates to table tennis,This text does not relate to table tennis
Television Station,TelevisionStation,"television, TV, station, channel, broadcast, network, show, program, news, live, anchor, signal, frequency, viewers, rating, screen, studio, commercial, air, cable",Television Station, ,I talk about television stations constantly,I do not talk about television stations constantly,This text relates to television stations,This text does not relate to television stations
Tennis,"TennisPlayer, TennisTournament, WomensTennisAssociationTournament","tennis, racket, ball, court, net, serve, return, rally, ace, forehand, backhand, volley, match, set, game, point, spin, slice, smash, baseline",Tennis, ,I talk about tennis constantly,I do not talk about tennis constantly,This text relates to tennis,This text does not relate to tennis
Theatre,Theatre,"theatre, stage, play, act, audience, seat, ticket, curtain, light, sound, actor, drama, musical, performance, script, set, prop, costume, applause, intermission",Theatre, ,I talk about theatres constantly,I do not talk about theatres constantly,This text relates to theatres,This text does not relate to theatres
Town,Town,"town, city, village, street, building, house, local, community, people, center, square, population, council, market, shop, road, quiet, resident, neighborhood, small",Town, ,I talk about towns constantly,I do not talk about towns constantly,This text relates to towns,This text does not relate to towns
University,University,"university, college, campus, student, professor, degree, class, course, lecture, study, library, dorm, academic, graduate, exam, research, tuition, faculty, alum, major",University, ,I talk about universities constantly,I do not talk about universities constantly,This text relates to universities,This text does not relate to universities
Video Game,VideoGame,"game, video game, play, console, PC, controller, player, level, score, win, lose, graphic, multiplayer, online, character, story, screen, pixel, boss, quest",Video Game, ,I talk about video games constantly,I do not talk about video games constantly,This text relates to video games,This text does not relate to video games
Village,Village,"village, town, small, house, community, rural, quiet, country, local, field, church, pub, green, resident, population, farm, peaceful, remote, road, old",Village, ,I talk about villages constantly,I do not talk about villages constantly,This text relates to villages,This text does not relate to villages
Voice Actor,VoiceActor,"voice, actor, dub, anime, cartoon, character, recording, studio, mic, script, sound, vocal, acting, role, speak, emotion, tone, read, booth, talent",Voice Actor, ,I talk about voice actors constantly,I do not talk about voice actors constantly,This text relates to voice actors,This text does not relate to voice actors
Volcano,Volcano,"volcano, erupt, eruption, lava, magma, ash, smoke, mountain, crater, heat, fire, explode, disaster, rock, island, earth, nature, active, dormant, rumble",Volcano, ,I talk about volcanoes constantly,I do not talk about volcanoes constantly,This text relates to volcanoes,This text does not relate to volcanoes
Winery,Winery,"winery, wine, grape, vineyard, taste, tasting, bottle, glass, barrel, cellar, red, white, age, cork, pour, drink, alcohol, tour, estate, vintage",Winery, ,I talk about wineries constantly,I do not talk about wineries constantly,This text relates to wineries,This text does not relate to wineries
Wrestling,WrestlingEvent,"wrestling, wrestler, match, ring, mat, pin, throw, hold, slam, submission, title, belt, rope, turnbuckle, show, crowd, fake, move, opponent, referee",Wrestling, ,I talk about wrestling constantly,I do not talk about wrestling constantly,This text relates to wrestling,This text does not relate to wrestling
